Clock frequency is approx. 1800.2 MHz
Memory mountain (MB/sec)
	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	s21	s22	s23	s24	s25	s26	s27	s28	s29	s30	s31	s32	s33	s34	s35	s36	s37	s38	s39	s40	s41	s42	s43	s44	s45	s46	s47	s48	s49	s50	s51	s52	s53	s54	s55	s56	s57	s58	s59	s60	s61	s62	s63	s64	
32m	5431.1	5088.6	4660.8	4000.2	3370.2	2809.2	2336.9	2007.0	1397.7	1332.1	1032.6	1036.5	940.2	912.2	816.0	740.8	1120.9	693.1	639.1	626.9	645.0	796.5	695.3	740.1	754.0	801.4	821.3	811.9	818.0	843.8	953.7	578.7	926.7	1419.8	1018.2	795.1	1030.6	1091.5	968.4	1073.3	1158.4	1067.2	1164.8	881.5	1380.5	1735.0	1349.3	650.8	1616.5	1419.7	1251.8	1359.3	1822.3	1725.5	1839.9	1375.3	1494.8	1663.1	2031.8	2287.5	2025.8	2007.3	1700.2	681.4	
16m	5488.7	5257.0	5015.4	4806.7	3589.8	3097.7	2671.9	2005.8	1811.6	1694.8	1312.2	1175.7	1138.8	1107.6	1004.5	890.4	1011.2	1225.8	1129.0	1440.6	1368.9	1341.9	1861.5	2066.4	2181.5	2466.6	2592.2	2640.8	2651.3	3287.4	3180.5	1279.0	3462.0	3440.8	3756.3	3837.5	3808.8	3910.9	3787.4	3971.9	3952.2	3806.7	3990.9	3998.7	3999.2	4009.3	4036.5	1547.5	4027.0	3947.7	3992.1	4033.1	4043.6	3982.1	4037.5	4060.3	4010.1	4072.6	4018.4	3991.9	3951.4	3988.9	4540.3	1304.2	
8m	4398.6	4397.5	4389.5	4183.2	4144.8	3784.5	3325.5	2640.3	2213.9	2175.0	2263.2	2268.9	2260.7	2175.4	2163.1	1866.0	1900.3	2716.2	3814.1	3931.2	4040.8	4037.2	4034.3	4020.7	4069.5	4089.8	4097.7	4100.2	4129.9	4016.8	4027.6	2114.0	2201.4	2166.6	2429.0	2633.4	2628.5	2809.9	2801.9	2986.8	3011.1	3169.9	3366.0	3377.1	3369.8	3732.0	3726.6	4110.5	4282.9	4241.8	4444.3	4447.4	4449.3	4439.8	4637.0	4607.9	4771.4	4790.6	4775.6	4714.4	4654.1	3683.7	3611.0	1861.8	
4m	5573.7	5695.8	5718.5	5654.5	5598.9	5553.1	5504.5	5354.2	5355.2	5074.7	5141.8	5069.9	5024.2	4930.9	4874.6	4097.1	4788.3	5201.0	5167.8	5164.3	4534.6	5187.9	5407.0	5399.5	5389.8	5399.5	5381.4	5398.6	5378.7	5214.5	4380.5	3368.7	5215.7	5056.5	5321.6	4358.7	5389.9	5358.7	5408.0	4376.9	5394.0	4437.6	5379.4	4478.5	4491.1	5385.3	4475.0	3579.4	5407.1	5405.0	5398.5	5402.2	4528.3	4486.3	4493.5	4546.1	5374.9	4559.5	4505.9	4473.4	4476.6	4531.2	4529.9	3264.6	
2m	5985.3	5985.7	5986.2	5986.1	5985.2	6183.2	6183.6	6183.0	6178.9	6178.5	6164.0	6055.2	5919.8	5798.1	5702.3	4786.3	5514.4	5406.6	5643.6	5546.6	5459.4	5357.2	5942.4	5221.1	5190.6	5195.9	5129.0	5144.2	5158.3	5821.1	5011.2	4041.8	5803.9	4971.6	6010.7	5104.3	5088.6	5083.8	6204.4	5069.8	6313.7	5130.2	5130.6	5153.1	5164.9	5176.3	5167.2	4065.4	6522.1	5391.3	5446.9	5477.9	5396.2	5490.1	6730.8	5506.4	5607.6	5650.6	5609.8	5579.5	5587.6	5723.9	5781.9	4132.6	
1024k	6784.0	6783.4	6783.9	6782.0	6780.6	6781.5	6780.5	6781.4	6779.4	6759.3	6753.6	6663.3	6496.1	6380.3	6297.7	5261.9	6080.4	5956.7	6321.0	5779.5	5708.5	6552.6	5547.1	5476.2	6728.3	5476.3	5519.6	5515.4	5592.3	5609.8	5606.4	4191.3	6720.8	5698.8	5944.2	6002.0	6107.4	6150.8	6200.3	6397.7	6401.5	6562.0	6502.3	6526.7	6594.2	6717.1	6661.4	4492.7	6767.7	6766.7	6745.3	6748.2	6741.4	6721.0	6748.0	6771.1	6751.5	6728.0	6731.0	6740.9	6757.6	6741.5	6722.5	4183.5	
512k	6782.7	6783.5	6780.6	6783.0	6770.0	6779.6	6776.7	6776.3	6775.7	6757.8	6759.1	6706.1	6659.9	6666.1	6663.8	5472.0	6612.4	6569.0	6658.7	6594.4	6660.2	6586.8	6623.9	6629.3	6662.8	6707.1	6667.1	6723.8	6718.3	6716.4	6691.1	4517.4	6764.3	6690.4	6759.8	6718.6	6717.6	6718.1	6755.9	6731.8	6730.6	6713.9	6742.8	6738.6	6696.0	6746.6	6720.5	6562.6	6743.7	6726.6	6739.2	6731.9	6727.4	6745.6	6718.6	6722.5	6739.1	6726.6	6718.3	6727.9	6720.5	6699.9	6724.0	4584.1	
256k	6784.8	6783.7	6788.7	6788.0	6776.2	6777.2	6780.1	6778.7	6780.5	6774.3	6775.1	6773.1	6760.8	6767.0	6753.9	6761.6	6765.5	6742.8	6765.7	6743.3	6756.3	6749.2	6735.6	6756.5	6738.6	6747.0	6745.6	6730.5	6743.4	6730.8	6720.6	6528.1	6728.8	6711.5	6707.2	6735.4	6718.9	6690.5	6706.7	6714.0	6710.5	6687.4	6699.5	6706.5	6708.9	6704.2	6684.1	6696.7	6710.2	6706.8	6690.4	6672.5	6689.4	6695.8	6718.6	6677.2	6676.6	6689.9	6665.1	6670.9	6656.9	6653.1	6658.2	6456.7	
128k	6785.9	6784.1	6784.2	6780.2	6780.1	6775.5	6756.1	6770.9	6749.7	6758.8	6736.5	6758.8	6742.0	6725.1	6745.2	6743.0	6721.2	6721.6	6730.4	6717.8	6699.4	6702.3	6712.9	6715.0	6697.3	6682.4	6695.8	6693.1	6689.9	6670.9	6670.6	6542.6	6718.5	6698.5	6679.7	6665.9	6690.7	6676.1	6690.9	6701.5	6697.7	6670.5	6667.0	6659.5	6652.4	6652.0	6656.3	6623.3	6667.1	6654.8	6666.3	6641.9	6634.6	6619.7	6630.3	6644.2	6643.0	6644.8	6663.6	6618.8	6643.9	6606.9	6603.8	6560.1	
64k	6782.6	6783.4	6772.0	6764.7	6760.7	6751.9	6725.1	6746.1	6728.5	6714.0	6698.1	6710.4	6702.1	6693.1	6687.9	6666.8	6711.5	6693.2	6697.7	6686.4	6662.6	6651.3	6652.0	6659.2	6664.2	6641.9	6650.0	6644.2	6644.8	6596.6	6629.9	6411.7	6592.9	6632.8	6607.7	6618.8	6628.1	6603.2	6574.5	6581.9	6582.8	6576.7	6563.3	6537.7	6520.0	6522.8	6518.0	6552.6	6540.3	6568.9	6534.5	6536.6	6525.0	6537.8	6556.6	6500.6	6504.4	6472.6	6508.8	6466.4	6444.6	6472.0	6455.8	6400.6	
32k	6786.5	6752.3	6754.2	6743.0	6706.4	6705.8	6682.5	6697.1	6693.2	6686.4	6659.5	6641.2	6641.9	6633.7	6618.8	6595.3	6632.8	6592.2	6589.2	6596.6	6546.1	6537.7	6522.8	6552.6	6532.5	6517.9	6498.8	6500.6	6472.6	6509.2	6472.0	6536.8	6400.6	6468.5	6406.7	6449.4	6424.0	6412.2	6380.4	6382.4	6449.9	6470.7	6380.1	12175.7	12247.9	12443.9	12935.3	6296.0	6295.9	13553.0	13924.2	14001.3	6215.1	6269.6	14281.4	6194.7	16401.6	16115.8	16378.6	16659.2	15847.4	16110.0	16139.5	16458.7	
16k	6758.5	6755.4	6728.8	6709.3	6671.2	6641.2	6644.2	6630.8	6605.5	6581.9	6585.9	6552.6	6499.2	6480.6	6466.4	6513.7	6396.9	6449.4	6438.8	6382.4	6353.5	12175.7	6313.9	6328.4	6373.6	14728.7	6269.6	14832.4	16115.8	16113.0	16110.0	16170.0	16234.3	16337.4	16519.2	16060.4	16238.3	16508.0	17583.1	16361.6	17518.7	17123.6	17146.6	17170.9	16801.6	17320.6	17898.9	5791.1	5953.0	9056.3	16510.2	9776.8	9118.9	16042.7	8764.8	5776.4	5805.0	16921.6	8451.7	17551.7	5675.8	16973.1	16715.9	5689.4	
8k	6736.9	6697.1	6668.2	6642.8	6611.4	6552.6	6500.6	6490.8	6399.0	6382.4	11852.5	6296.0	6300.6	6268.5	16659.2	16170.0	16337.4	17064.1	17241.6	16005.9	6000.6	15944.4	17320.6	5959.8	18988.9	17183.5	17045.4	17521.7	18130.3	18201.7	16387.8	17724.8	17857.7	16001.5	12035.4	15134.8	15301.5	16827.7	15751.5	17487.4	15575.4	17551.7	16287.3	14557.9	18201.7	17801.7	17401.7	15301.5	15822.6	14671.4	15159.3	14131.4	15401.5	5128.8	13321.3	14601.4	16089.0	14930.8	7763.2	7200.7	15076.4	15841.5	15601.5	15361.5	
4k	6691.0	6618.9	6552.6	6513.7	6382.4	12656.9	6231.4	16758.0	16060.4	17122.6	5926.2	16590.8	9948.3	5776.4	17551.7	19201.8	5610.9	17026.6	18430.3	17487.4	5400.5	5151.3	17801.7	5186.9	5147.9	17664.2	15989.8	14601.4	15864.0	15301.5	14851.4	14401.4	15944.4	15430.0	13163.8	14530.0	14144.2	13758.5	11813.6	14124.4	11138.6	12472.6	12215.5	6439.1	6300.6	6162.1	9212.6	6955.2	6791.6	5608.2	6546.1	12764.9	6930.7	6137.0	6343.5	6257.7	9129.4	8400.8	6900.7	6120.6	6030.6	6253.2	6158.5	8229.4	
2k	6642.8	6490.8	6296.0	16170.0	16361.6	5959.8	5776.4	18433.8	19459.0	16692.5	15944.4	17001.6	5138.7	4778.6	15301.5	15361.5	14401.4	12713.7	13758.5	13115.5	13432.1	12878.2	6408.6	12751.2	10415.3	11701.1	6750.6	5973.3	9000.9	10201.0	9900.9	3840.4	7972.2	9819.1	6525.6	5600.5	7072.1	6814.9	5200.5	5100.5	5513.0	4800.5	7050.7	5914.9	5063.0	4950.5	4838.0	5400.5	4612.9	4800.5	4800.5	5850.6	4886.2	4757.6	5123.6	4629.0	4846.6	4200.4	4371.8	4708.1	4950.5	2700.3	4800.5	4800.5	
